Structure_name,Enthalpy_surface_kjmol,Henry_coeff_molkgPa,time
AWEDOW_charged_52,-25.6681,0.000102501,56.8404
BADJIC_clean_15,-24.2811,1.00601e-05,22.5163
AZIMIH_clean_15,-32.1152,0.000345675,31.966
AJIGIL_clean_19,-27.883,0.000121994,202.081
AVUDAX_clean_14,-26.8389,0.000232381,68.1745
AXIPEE03_clean_14,-24.6141,0.000101827,50.6464
AWAGOV_clean_85,-37.4856,0.000880321,65.8419
BAKGAX_clean_62,-28.2206,5.25654e-05,18.7077
BAKJII_clean_14,-25.5072,0.000410676,16.8998
BAKYIY_clean_63,-25.1198,0.000234815,12.4784
BALMUW01_clean_2,19.757,3.32352e-15,11.3574
BALMUW_clean_2,14.6513,2.80032e-14,11.3211
AZOHEC_clean_13,-34.2375,0.000693676,37.66
ATAYAX_clean_1,-27.9635,0.00030678,112.885
AVETOM_clean_68,-40.6731,0.00320007,85.7076
BAEDTA01_clean_104,-48.2122,0.035983,33.6245
AWAHEM_clean_1,-20.4307,1.22986e-05,73.9461
BAKYOE_clean_60,-25.7049,0.000297488,18.9268
