Structures,chem_comp,solvent_removed,framework_count,framework_mean_dim
ATIJUJ_manual,Co6P306H2754C1836N306O918,1,1,3.0
ATIRUS_clean,Tb248C1736H24N248O1488S124,1,1,3.0
ATIXAE_clean,Tb124O744N372C2976H48,1,2,3.0
ATIXUX_clean,O2232C4216H48Cd372,1,1,3.0
ATOGEV_clean,Zn372P496H16O1488,1,1,3.0
ATOTIM_clean,V186H24C1488O930,1,1,3.0
ATOTIM_manual,V186H24C1488O930,1,1,3.0
ATOWIQ_clean,Zn124H32C1240N186O496,1,1,3.0
ATOWOW_clean,Zn124H32C1240N186O496,1,1,3.0
ATOXEN_clean,Zn124H40C1736N124O496,1,2,3.0
ATULIM_clean,Zn248O744N248C1736H40,1,1,3.0
ATUXIY_clean,Eu372O2480C4216H56,1,1,3.0
ATUXOE_clean,Eu124O1178C1984H24K124,1,1,3.0
ATUXUK_clean,Tb124O1178C1984H24K124,1,1,3.0
ATUYAR_clean,Gd124O1116C1984H24K124,1,1,3.0
ATUZEW_clean,O4464C8370H54Cu558,1,1,3.0
AVAGIP_clean,Ag496N2976C8432H192,1,1,3.0
AVAGOV_clean,Ag496N2976C8432H192,1,1,3.0
AVAGUB_clean,Ag248N1488C4216H96,1,1,3.0
AVALEO_clean,O1240N496C2728H160Gd124,1,1,3.0
AVAQIX01_clean,Cd248O992C2976H64N496,1,2,3.0
AVAQIX_clean,Cd248H64C2976N496O992,1,2,3.0
AVEHAM_clean,C5916H84N408O1020Cu204,1,1,3.0
AVELOD_clean,Cu248H120C3720N744O496,1,1,3.0
AVELUJ_clean,Ni8H3720C3720N744O496,1,1,3.0
AVEMAQ_clean,Ni8H3720C3720N744O496,1,1,3.0
AVEMOE_clean,Ag248P124H48C744N372O124,1,1,3.0
AVEQID_clean,C4488H40N204O1632Zn408,1,1,3.0
AVEROJ_clean,Cd186H12C372N558Cl186,1,1,3.0
AVESAW_clean,Cd372H40C1240N1860Cl124,1,1,3.0
AVESOL_clean,Zn248O1240C2852H36,1,1,3.0
AVESUR_clean,Cd496O2480C5704H72,1,1,3.0
AVETAY_clean,O2976C5952H80Zn372,1,1,3.0
AVETEC_clean,O3968C5952H64Cd372,1,1,3.0
AVETOM_clean,Ni40O8976N4080C25296H14688,1,1,3.0
AVEVEE_clean,C1632H12Cd153N204O1020,1,1,3.0
