Structures,CPU_time (s)
BIPLIX_clean_2,11.5942
c5qi00128e_c5qi00128e2_clean_140,0.928113
c4dt03702b_c4dt03702b2_clean_55,3.81635
c5dt02374b_c5dt02374b2_clean_7,2.10574
c5ce00677e_c5ce00677e2_clean_14,2.95467
c6cc00589f_c6cc00589f2_clean_217,0.626687
c5dt03038b_c5dt03038b2_clean_11,2.30374
BOZFIH_clean_14,8.41645
BUSNAF_clean_2,6.0766
BUCWAZ_clean_4,8.10398
BUCVIG_clean_15,8.18918
BUCTUQ_clean_15,8.40329
BUVYIB_clean_2,5.37575
c5ce00923e_c5ce00923e2_clean_14,3.73876
c5cp03920g_c5cp03920g2_clean_5,3.23282
BUVYIB01_clean_2,5.86338
BOWDIC_clean_13,10.4888
